Event Date,Number of Shows,Headliner,Promoter,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min USD,Ticket Price Max USD,Ticket Price Avg. USD,Venue Type,Tickets Sold,Total Gross,Venue Address
1/30/2026,1,Congress The Band,"Live Nation, Union Stage Presents",550,11525.0,550.0,1.0,20.0,35.0,20.95,Club,550,11525.0,"Union Stage, Washington, United States"
1/30/2026,1,Snow Strippers,Live Nation,2286,76125.5,2332.0,0.98,30.0,45.0,33.3,Theater ,2286,76125.5,"The Tabernacle, Atlanta, United States"
1/30/2026,1,Trousdale,Live Nation / Gaiety Investments (MCD Productions),112,3071.77,140.0,0.8,27.43,27.43,27.43,Club,112,3071.77,"The Grand Social, Dublin, Ireland"
1/30/2026,1,Ewan McVicar,Live Nation / Gaiety Investments (MCD Productions),7001,499580.29,7172.0,0.97,71.31,71.31,71.36,Arena,7001,499580.29,"3Arena, Dublin, Ireland"
1/30/2026,1,The Offspring,Live Nation,12897,870634.66,13152.0,0.98,33.29,110.59,67.51,Arena,12897,870634.66,"Rogers Place, Edmonton, Canada"
1/30/2026,1,Zayn,Live Nation,4960,669810.0,4960.0,1.0,79.5,499.0,135.04,Theater ,4960,669810.0,"Dolby Live at Park MGM Las Vegas, Las Vegas, United States"
1/30/2026,1,Sheng Wang,Live Nation,946,49762.25,2272.0,0.41,19.75,59.5,52.6,Theater ,946,49762.25,"Ryman Auditorium, Nashville, United States"
1/30/2026,1,Jesse &amp; Joy,Live Nation,1980,131467.0,2044.0,0.96,35.49,115.49,66.4,Theater ,1980,131467.0,"Plaza Theatre, El Paso, United States"
1/31/2026,1,Keith Barry,Live Nation / Gaiety Investments (MCD Productions),485,25525.83,485.0,1.0,52.63,52.63,52.63,Club,485,25525.83,"Black Box, Galway, Ireland"
1/31/2026,1,Mark Mehigan,Live Nation / Gaiety Investments (MCD Productions),1228,52550.45,1298.0,0.94,42.79,42.79,42.79,Theater ,1228,52550.45,"3Olympia Theatre, Dublin, Ireland"
1/31/2026,1,C-Kan,OCESA,1239,64420.76,3257.0,0.38,22.9,177.49,51.99,Theater ,1239,64420.76,"Auditorio Del Complejo Cultural Universitario, Puebla, Mexico"
1/31/2026,1,Deon Cole,Live Nation,2900,206550.0,2900.0,1.0,49.5,99.5,71.22,Theater ,2900,206550.0,"The Theater at MGM National Harbor, Oxon Hill, United States"
1/31/2026,1,Hermanos Gutiérrez,"OCESA, Páramo Presenta",1388,81444.48,1634.0,0.84,54.23,59.68,58.68,Theater ,1388,81444.48,"Teatro Metropolitano José Gutiérrez Gómez, Medellin, Colombia"
